Department or other unit,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Undistributed Offsetting Receipts,(On-budget),(Off-budget),Total outlays,* 0.05 percent or less
1980,0.2,0.1,5.9,0.5,22.2,2.5,1.2,11.6,0.7,2.2,0.8,0.4,5.2,0.4,3.1,12.8,3.6,0.5,2.0,0.9,*,0.1,1.3,0.8,0.2,2.5,0.3,1.2,19.9,2.4,-0.1,..........,-5.4,-4.8,-0.6,100.0,
1981,0.2,0.1,6.1,0.3,22.7,2.5,1.7,11.9,0.6,2.2,0.7,0.4,4.6,0.3,3.1,13.5,3.4,0.5,2.0,0.8,*,0.1,1.2,0.8,0.1,2.7,0.3,1.2,20.5,1.7,*,..........,-6.2,-5.6,-0.5,100.0,
1982,0.2,0.1,6.1,0.3,24.2,2.0,1.6,11.9,0.5,2.0,0.5,0.3,4.2,0.4,2.4,14.7,3.2,0.4,2.0,0.7,*,0.1,1.1,0.8,0.1,2.7,0.1,1.1,20.8,1.2,-0.1,..........,-5.7,-5.2,-0.5,100.0,
1983,0.2,0.1,6.5,0.2,25.3,1.8,1.3,11.8,0.6,2.0,0.6,0.3,4.8,0.3,2.3,14.3,3.1,0.4,2.0,0.5,*,0.1,1.0,0.8,0.1,2.6,0.1,3.7,18.6,1.1,*,..........,-6.3,-5.9,-0.4,100.0,
1984,0.2,0.1,4.9,0.2,25.9,1.8,1.3,12.0,0.6,2.0,0.6,0.3,3.0,0.4,2.4,16.4,3.0,0.4,1.9,0.5,*,0.1,1.3,0.8,0.1,2.7,0.1,2.1,20.1,1.0,*,..........,-6.1,-5.5,-0.6,100.0,
1985,0.2,0.1,5.9,0.2,25.9,1.8,1.1,12.1,0.5,3.0,0.5,0.3,2.6,0.3,2.4,17.3,2.8,0.3,1.7,0.5,*,*,1.3,0.8,0.1,2.5,0.1,1.8,19.4,0.7,*,..........,-6.2,-5.5,-0.7,100.0,
1986,0.2,0.1,5.9,0.2,26.8,1.8,1.1,12.4,0.5,1.4,0.5,0.3,2.5,0.4,2.5,18.0,2.7,0.3,1.8,0.5,*,0.1,1.1,0.7,0.2,2.4,0.1,2.0,19.3,0.9,*,..........,-6.6,-5.8,-0.7,100.0,
1987,0.2,0.1,4.9,0.2,27.3,1.7,1.1,13.1,0.5,1.5,0.5,0.4,2.4,0.4,2.3,17.8,2.7,0.3,1.8,0.5,*,*,1.0,0.8,0.2,2.7,-*,1.6,20.2,1.0,0.1,..........,-7.2,-6.3,-0.9,100.0,
1988,0.2,0.1,4.1,0.2,26.5,1.7,1.0,13.2,0.6,1.8,0.5,0.4,2.1,0.4,2.2,18.8,2.7,0.3,1.8,0.5,*,-*,0.7,0.9,0.2,2.7,-*,1.7,20.2,1.8,0.2,..........,-7.4,-6.3,-1.1,100.0,
1989,0.2,0.1,4.2,0.2,25.8,1.9,1.0,13.3,0.5,1.7,0.5,0.5,2.2,0.4,2.1,19.9,2.6,0.3,1.8,0.4,*,-*,0.4,1.0,0.2,2.5,*,1.6,19.9,2.7,-*,..........,-7.8,-6.4,-1.4,100.0,
