Years,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Undistributed Offsetting Receipts,(On-budget),(Off-budget),Total budget authority,,,
1999,"2,943","3,807","67,560","5,431","278,402","33,643","16,353","364,973","13,042","26,303","8,097","17,138","35,763","8,914","46,207","386,880","44,070","3,797","32,079","7,243",428,233,"27,437","13,627","3,702","48,710",342,"39,797","380,267","12,901","5,607",..........,"-159,036","-99,581","-59,455","1,776,660",,,
2000,"2,800","4,067","75,162","8,733","290,307","31,816","15,291","392,122","13,840","24,277","8,363","15,751","31,258","8,113","49,965","391,649","45,462","4,028","32,924","7,313",272,-304,"14,057","13,588","3,961","50,463",100,"45,112","398,770","14,917","3,712",..........,"-173,019","-105,586","-67,433","1,824,870",,,
2001,"3,149","4,459","73,082","5,167","318,651","39,734","17,666","434,443","16,400","32,296","9,584","19,196","44,437","8,371","61,570","389,999","47,410","4,619","34,339","7,601","3,826",161,"11,399","14,254","4,519","53,144",-68,"43,259","428,670","14,595","4,064",..........,"-191,125","-114,404","-76,721","1,958,871",,,
2002,"3,613","4,970","71,209","5,545","344,878","55,838","18,447","478,236","30,570","34,481","10,768","21,381","65,209","9,859","60,336","371,204","51,894","4,730","35,383","7,841",330,237,"14,438","14,868","4,884","55,306",604,"43,913","447,951","18,724","3,071",..........,"-200,706","-115,009","-85,697","2,090,012",,,
2003,"3,830","5,168","78,750","5,800","439,339","63,001","20,552","515,464","30,844","34,371","10,416","22,934","69,074","10,353","54,415","369,139","58,964","4,771","39,941","7,925","2,568","1,348","18,457","15,449","5,384","57,316","1,625","46,157","463,279","14,486","5,386",..........,"-210,449","-117,303","-93,146","2,266,057",,,
2004,"3,937","5,440","93,037","5,877","471,796","67,161","21,988","556,305","31,650","35,077","10,137","28,092","56,923","11,951","60,854","376,958","60,279","4,554","41,846","8,390","18,804",21,"15,603","15,342","5,589","59,932","4,222","49,939","481,699","15,241","2,057",..........,"-212,526","-114,967","-97,559","2,408,175",,,
2005,"4,036","5,726","95,023","6,476","483,846","74,476","21,093","591,392","100,689","35,029","10,553","21,772","47,155","14,595","64,543","411,697","68,889","5,494","43,716","7,959",369,297,"18,249","16,187","5,565","63,076","3,345","54,777","515,130","16,695","1,005",..........,"-226,213","-123,436","-102,777","2,582,641",,,
2006,"4,219","5,993","97,339","6,638","532,926","100,019","21,085","684,554","32,285","52,405","9,940","23,052","45,896","15,438","64,444","466,551","70,937","11,944","44,672","7,583",341,722,"18,695","16,570","5,690","66,756","1,755","53,360","536,159","16,285","3,693",..........,"-237,548","-128,201","-109,347","2,780,398",,,
2007,"4,286","6,180","91,821","7,766","602,984","68,265","21,686","658,365","39,702","35,364","10,333","24,771","47,624","17,084","65,994","492,728","79,547","7,046","47,187","7,533",390,89,"51,359","16,275","6,028","61,633",528,"56,663","569,627","15,517","8,899",..........,"-260,206","-141,904","-118,302","2,863,068",,,
2008,"4,447","6,518","92,950","9,585","674,694","65,399","22,739","721,693","50,624","50,930","10,556","26,354","57,973","23,124","67,974","751,174","88,401","9,093","45,430","7,393",289,340,"24,008","17,209","6,197","65,951","1,317","58,500","601,826","31,701","9,677",..........,"-277,791","-150,928","-126,863","3,326,275",,,
