Years,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Undistributed Offsetting Receipts,(On-budget),(Off-budget), Total budget authority,* 0.05 percent or less,,,,
1993,0.2,0.2,4.6,0.2,18.1,2.1,1.2,17.5,0.6,1.8,0.5,0.7,3.2,0.4,2.5,20.2,2.4,0.3,1.8,0.5,*,*,1.7,1.0,0.2,2.7,0.1,1.9,20.4,1.1,0.2,..........,-8.1,-5.9,-2.3,100.0,,,,,
1994,0.2,0.2,4.3,0.2,16.4,1.8,1.1,20.1,0.8,1.7,0.5,0.6,2.6,0.5,2.5,20.1,2.4,0.3,1.8,0.4,*,*,0.6,1.0,0.2,2.6,0.1,2.1,20.6,2.1,0.2,..........,-8.1,-5.7,-2.3,100.0,,,,,
1995,0.2,0.2,3.8,0.3,16.6,2.1,1.0,19.6,0.7,1.3,0.5,0.8,2.1,0.4,2.2,22.8,2.5,0.2,1.8,0.4,*,*,1.0,0.9,0.2,2.8,0.1,2.1,21.3,0.9,0.2,..........,-8.9,-6.4,-2.6,100.0,,,,,
1996,0.2,0.2,3.7,0.2,16.1,1.8,0.9,20.1,0.7,1.3,0.5,0.9,2.2,0.4,2.0,23.0,2.4,0.2,1.8,0.4,*,*,0.6,0.9,0.2,2.8,0.1,1.9,21.9,0.8,0.2,..........,-8.5,-5.8,-2.7,100.0,,,,,
1997,0.2,0.2,3.7,0.2,15.7,2.0,0.9,21.5,0.8,1.0,0.5,1.0,2.0,0.4,2.2,23.0,2.4,0.3,1.8,0.4,*,*,0.5,0.8,0.2,2.7,0.1,2.1,21.9,0.8,0.2,..........,-9.4,-6.5,-2.9,100.0,,,,,
1998,0.2,0.2,3.4,0.2,15.3,2.1,0.8,21.2,0.7,1.2,0.5,1.0,2.0,0.4,2.4,23.1,2.5,0.2,1.9,0.4,*,*,0.4,0.8,0.2,2.8,*,2.1,21.9,1.1,0.4,..........,-9.5,-6.3,-3.2,100.0,,,,,
1999,0.2,0.2,3.8,0.3,15.7,1.9,0.9,20.5,0.7,1.5,0.5,1.0,2.0,0.5,2.6,21.8,2.5,0.2,1.8,0.4,*,*,1.5,0.8,0.2,2.7,*,2.2,21.4,0.7,0.3,..........,-9.0,-5.6,-3.3,100.0,,,,,
2000,0.2,0.2,4.1,0.5,15.9,1.7,0.8,21.5,0.8,1.3,0.5,0.9,1.7,0.4,2.7,21.5,2.5,0.2,1.8,0.4,*,-*,0.8,0.7,0.2,2.8,*,2.5,21.9,0.8,0.2,..........,-9.5,-5.8,-3.7,100.0,,,,,
2001,0.2,0.2,3.7,0.3,16.3,2.0,0.9,22.2,0.8,1.6,0.5,1.0,2.3,0.4,3.1,19.9,2.4,0.2,1.8,0.4,0.2,*,0.6,0.7,0.2,2.7,-*,2.2,21.9,0.7,0.2,..........,-9.8,-5.8,-3.9,100.0,,,,,
2002,0.2,0.2,3.4,0.3,16.5,2.7,0.9,22.9,1.5,1.6,0.5,1.0,3.1,0.5,2.9,17.8,2.5,0.2,1.7,0.4,*,*,0.7,0.7,0.2,2.6,*,2.1,21.4,0.9,0.1,..........,-9.6,-5.5,-4.1,100.0,,,,,
